AvgPrice,City,Earning,StdPrice
183545.29935275082,Palmdale,27636.0,85155.72104400066
383698.66937119677,Torrance,44689.0,233900.87342437136
527867.7864768683,Redondo Beach,59996.0,334993.9172451916
861571.2105263158,Santa Monica,51738.0,1172076.3865894973
310758.2048192771,Alhambra,30441.0,176160.49681100762
310520.903030303,Rosemead,24091.0,197076.59941876237
490968.0238611714,Pasadena,39824.0,644583.7496909706
394212.73956262425,Glendale,31050.0,266328.3760877995
321284.47572815535,Downey,30595.0,164626.78091052314
352101.27876106196,Cerritos,44335.0,205683.90843153014
289288.7817679558,Lakewood,40556.0,164206.3833231221
316192.0,Cypress,41200.0,0.0
633829.0192307692,Rancho Palos Verdes,63614.0,493511.88759578567
295594.3230769231,La Mirada,36738.0,158247.83313888384
259180.80902777778,Covina,32477.0,154440.3193800217
216662.35265700484,Baldwin Park,22731.0,104701.0028593098
481678.5187969925,Walnut,42854.0,318047.9258795201
